Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
1641173021,MNQZ5,11/17/2025 19:00:27 +04:00,11/17/2025 19:03:32 +04:00,25208.750000000,25151.250000000,0.74000,115.000000000,1,Short,11/17/2025 00:00:00 -06:00,00:03:04.6492940,
1641173024,MNQZ5,11/17/2025 19:01:04 +04:00,11/17/2025 19:03:32 +04:00,25202.250000000,25151.250000000,0.74000,102.000000000,1,Short,11/17/2025 00:00:00 -06:00,00:02:27.7494560,
1649263007,MNQZ5,11/18/2025 18:41:00 +04:00,11/18/2025 18:42:40 +04:00,24737.250000000,24680.500000000,1.48000,227.000000000,2,Short,11/18/2025 00:00:00 -06:00,00:01:39.8947460,
1658653091,MNQZ5,11/19/2025 19:24:00 +04:00,11/19/2025 19:31:13 +04:00,24937.000000000,24943.250000000,0.74000,-12.500000000,1,Short,11/19/2025 00:00:00 -06:00,00:07:12.7509570,
1658653092,MNQZ5,11/19/2025 19:24:05 +04:00,11/19/2025 19:31:13 +04:00,24949.500000000,24943.250000000,0.74000,12.500000000,1,Short,11/19/2025 00:00:00 -06:00,00:07:07.7018300,
1674878272,MNQZ5,11/21/2025 18:51:04 +04:00,11/21/2025 18:52:49 +04:00,24196.000000000,24240.000000000,0.74000,88.000000000,1,Long,11/21/2025 00:00:00 -06:00,00:01:44.7971090,
1674906113,MNQZ5,11/21/2025 18:51:22 +04:00,11/21/2025 18:54:13 +04:00,24180.250000000,24250.000000000,0.74000,139.500000000,1,Long,11/21/2025 00:00:00 -06:00,00:02:51.2505280,
1691139052,MNQZ5,11/25/2025 19:09:08 +04:00,11/25/2025 19:23:04 +04:00,24766.500000000,24704.250000000,0.74000,-124.500000000,1,Long,11/25/2025 00:00:00 -06:00,00:13:55.9867550,
1691139053,MNQZ5,11/25/2025 19:09:25 +04:00,11/25/2025 19:23:04 +04:00,24765.750000000,24704.250000000,0.74000,-123.000000000,1,Long,11/25/2025 00:00:00 -06:00,00:13:39.3370350,
1710644531,MNQZ5,12/01/2025 19:08:04 +04:00,12/01/2025 19:13:22 +04:00,25361.500000000,25370.250000000,2.96000,70.000000000,4,Long,12/01/2025 00:00:00 -06:00,00:05:17.7999340,
1718682384,MNQZ5,12/02/2025 18:58:23 +04:00,12/02/2025 19:00:47 +04:00,25593.250000000,25619.750000000,2.22000,159.000000000,3,Long,12/02/2025 00:00:00 -06:00,00:02:24.4557560,
1718667555,MNQZ5,12/02/2025 18:58:23 +04:00,12/02/2025 19:00:41 +04:00,25593.250000000,25610.000000000,1.48000,67.000000000,2,Long,12/02/2025 00:00:00 -06:00,00:02:18.4736370,
1751513760,MNQZ5,12/08/2025 19:17:49 +04:00,12/08/2025 19:20:46 +04:00,25745.500000000,25720.250000000,0.74000,-50.500000000,1,Long,12/08/2025 00:00:00 -06:00,00:02:57.1006480,
1751513761,MNQZ5,12/08/2025 19:18:39 +04:00,12/08/2025 19:20:46 +04:00,25735.500000000,25720.250000000,2.96000,-122.000000000,4,Long,12/08/2025 00:00:00 -06:00,00:02:06.6961090,
1758421714,MNQZ5,12/09/2025 18:36:03 +04:00,12/09/2025 18:37:18 +04:00,25603.000000000,25604.000000000,0.74000,2.000000000,1,Long,12/09/2025 00:00:00 -06:00,00:01:15.8357480,
1758421715,MNQZ5,12/09/2025 18:36:25 +04:00,12/09/2025 18:37:18 +04:00,25595.250000000,25604.000000000,1.48000,35.000000000,2,Long,12/09/2025 00:00:00 -06:00,00:00:53.2739590,
1781645096,MNQZ5,12/12/2025 18:32:12 +04:00,12/12/2025 18:34:46 +04:00,25562.000000000,25587.000000000,0.74000,50.000000000,1,Long,12/12/2025 00:00:00 -06:00,00:02:33.4953980,
1781769763,MNQZ5,12/12/2025 18:32:13 +04:00,12/12/2025 18:39:20 +04:00,25561.250000000,25611.500000000,0.74000,100.500000000,1,Long,12/12/2025 00:00:00 -06:00,00:07:07.0409870,
1781790253,MNQZ5,12/12/2025 18:39:48 +04:00,12/12/2025 18:39:49 +04:00,25611.250000000,25611.000000000,0.74000,-0.500000000,1,Long,12/12/2025 00:00:00 -06:00,00:00:00.7474400,
1781793948,MNQZ5,12/12/2025 18:39:51 +04:00,12/12/2025 18:40:00 +04:00,25610.500000000,25608.500000000,0.74000,-4.000000000,1,Long,12/12/2025 00:00:00 -06:00,00:00:08.9686550,
1809896906,MNQH6,12/18/2025 18:48:36 +04:00,12/18/2025 18:49:10 +04:00,25196.500000000,25170.500000000,0.74000,52.000000000,1,Short,12/18/2025 00:00:00 -06:00,00:00:33.6608810,
1818507290,MNQH6,12/19/2025 19:30:05 +04:00,12/19/2025 19:43:10 +04:00,25504.000000000,25521.500000000,0.74000,35.000000000,1,Long,12/19/2025 00:00:00 -06:00,00:13:05.6751550,
1818408329,MNQH6,12/19/2025 19:30:05 +04:00,12/19/2025 19:35:32 +04:00,25504.000000000,25542.000000000,0.74000,76.000000000,1,Long,12/19/2025 00:00:00 -06:00,00:05:27.1275640,
1824647499,MNQH6,12/22/2025 19:05:09 +04:00,12/22/2025 19:15:04 +04:00,25714.500000000,25675.250000000,0.74000,78.500000000,1,Short,12/22/2025 00:00:00 -06:00,00:09:54.4142210,
1839514423,MNQH6,12/26/2025 19:18:01 +04:00,12/26/2025 19:20:49 +04:00,25861.750000000,25879.250000000,0.74000,35.000000000,1,Long,12/26/2025 00:00:00 -06:00,00:02:47.1979450,
1839514424,MNQH6,12/26/2025 19:18:03 +04:00,12/26/2025 19:20:49 +04:00,25862.250000000,25879.250000000,0.74000,34.000000000,1,Long,12/26/2025 00:00:00 -06:00,00:02:45.5009210,
