Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2294145213,MESM6,03/17/2026 06:09:36 +02:00,03/17/2026 06:12:11 +02:00,6732.500000000,6734.500000000,11.10000,-150.000000000,15,Short,03/17/2026 00:00:00 -05:00,00:02:35.2471830,
2294531528,MESM6,03/17/2026 08:27:04 +02:00,03/17/2026 08:36:07 +02:00,6720.500000000,6723.000000000,11.10000,-187.500000000,15,Short,03/17/2026 00:00:00 -05:00,00:09:03.4673710,
2294540428,MNQM6,03/17/2026 08:37:34 +02:00,03/17/2026 08:41:25 +02:00,24760.000000000,24765.250000000,11.10000,157.500000000,15,Long,03/17/2026 00:00:00 -05:00,00:03:50.3020610,
2294545166,MNQM6,03/17/2026 08:42:08 +02:00,03/17/2026 08:45:09 +02:00,24767.000000000,24762.500000000,11.10000,-135.000000000,15,Long,03/17/2026 00:00:00 -05:00,00:03:00.8029530,
2294552639,MNQM6,03/17/2026 08:46:51 +02:00,03/17/2026 08:47:21 +02:00,24751.500000000,24748.250000000,11.10000,97.500000000,15,Short,03/17/2026 00:00:00 -05:00,00:00:30.2640680,
2294555493,MNQM6,03/17/2026 08:48:40 +02:00,03/17/2026 08:49:02 +02:00,24745.750000000,24753.000000000,11.10000,-217.500000000,15,Short,03/17/2026 00:00:00 -05:00,00:00:21.4411600,
2294557945,MNQM6,03/17/2026 08:49:10 +02:00,03/17/2026 08:49:53 +02:00,24752.250000000,24744.250000000,11.10000,-240.000000000,15,Long,03/17/2026 00:00:00 -05:00,00:00:42.7470500,
2294557949,MNQM6,03/17/2026 08:49:16 +02:00,03/17/2026 08:49:53 +02:00,24750.250000000,24744.250000000,11.10000,-180.000000000,15,Long,03/17/2026 00:00:00 -05:00,00:00:37.4609020,
2294583991,NQM6,03/17/2026 08:50:40 +02:00,03/17/2026 09:04:12 +02:00,24746.250000000,24753.250000000,8.40000,420.000000000,3,Long,03/17/2026 00:00:00 -05:00,00:13:31.8623090,
2294583992,NQM6,03/17/2026 09:00:08 +02:00,03/17/2026 09:04:12 +02:00,24746.500000000,24753.250000000,2.80000,135.000000000,1,Long,03/17/2026 00:00:00 -05:00,00:04:04.2738340,
2294608684,NQM6,03/17/2026 09:04:39 +02:00,03/17/2026 09:19:04 +02:00,24759.500000000,24774.250000000,11.20000,1180.000000000,4,Long,03/17/2026 00:00:00 -05:00,00:14:24.6804860,
2336161586,MNQM6,03/24/2026 16:06:07 +02:00,03/24/2026 16:07:14 +02:00,24217.250000000,24252.500000000,3.70000,-352.500000000,5,Short,03/24/2026 00:00:00 -05:00,00:01:07.0034290,
2336251408,NQM6,03/24/2026 16:10:19 +02:00,03/24/2026 16:10:53 +02:00,24280.500000000,24259.500000000,2.80000,-420.000000000,1,Long,03/24/2026 00:00:00 -05:00,00:00:33.6240640,
2336315705,NQM6,03/24/2026 16:11:11 +02:00,03/24/2026 16:13:18 +02:00,24249.250000000,24201.000000000,2.80000,965.000000000,1,Short,03/24/2026 00:00:00 -05:00,00:02:07.0315040,
2336315710,NQM6,03/24/2026 16:11:11 +02:00,03/24/2026 16:13:18 +02:00,24250.500000000,24201.000000000,2.80000,990.000000000,1,Short,03/24/2026 00:00:00 -05:00,00:02:06.5171600,
2344341721,NQM6,03/25/2026 16:02:45 +02:00,03/25/2026 16:05:13 +02:00,24392.250000000,24392.250000000,2.80000,0.000000000,1,Long,03/25/2026 00:00:00 -05:00,00:02:28.1818510,
2344377915,NQM6,03/25/2026 16:06:02 +02:00,03/25/2026 16:06:41 +02:00,24407.000000000,24423.750000000,5.60000,-670.000000000,2,Short,03/25/2026 00:00:00 -05:00,00:00:38.4624440,
2344507408,NQM6,03/25/2026 16:10:22 +02:00,03/25/2026 16:13:01 +02:00,24405.750000000,24446.500000000,2.80000,815.000000000,1,Long,03/25/2026 00:00:00 -05:00,00:02:39.4553950,
2344507415,NQM6,03/25/2026 16:10:24 +02:00,03/25/2026 16:13:01 +02:00,24405.250000000,24446.500000000,2.80000,825.000000000,1,Long,03/25/2026 00:00:00 -05:00,00:02:36.8608960,
